year,state,violent_crime_rate,property_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
1977,Alabama,414.4,3298.2,14.2,25.2,96.8,278.3,1135.5,1881.9,280.7
1977,Alaska,443.2,5454.8,10.8,51.6,96.8,284,1331.7,3369.8,753.3
1977,Arizona,494.2,7253,9.5,34.2,138.2,312.3,2346.1,4467.4,439.5
1977,Arkansas,322.9,3018.1,8.8,27.6,83.2,203.4,972.6,1862.1,183.4
1977,California,706,6302.7,11.5,49.4,287,358,2139.4,3499.8,663.5
1977,Colorado,511.9,6315.6,6.3,42,170.7,292.9,1935.2,3903.2,477.1
1977,Connecticut,282.3,4559.8,4.2,16.8,129.5,131.8,1346,2620.7,593.2
1977,Delaware,382.1,5828,6,24.9,157,194.2,1682.6,3678.4,467
1977,District of Columbia,1426.5,5793.9,27.8,58.3,964.5,375.9,1679.7,3716.8,397.4
1977,Florida,686.8,6051.8,10.2,39.6,187.9,449.1,1859.9,3840.5,351.4
1977,Georgia,439.8,3819.2,11.7,31.1,140.5,256.5,1351.1,2170.2,297.9
1977,Hawaii,224.8,6321.3,7.2,25.5,128,64.1,1911.5,3920.4,489.4
1977,Idaho,236.9,3888,5.5,19.4,39.6,172.5,1050.8,2599.6,237.6
1977,Illinois,630.6,4697.1,9.9,26.1,280.3,314.3,1257,2828.5,611.7
1977,Indiana,310.6,3962.3,7.4,26.5,123.2,153.5,1086.2,2498.7,377.4
1977,Iowa,144,3717.5,2.3,10.6,41.2,89.8,812.5,2685.1,219.9
1977,Kansas,309.8,4254,6.6,22,100.7,180.5,1270.4,2739.3,244.3
1977,Kentucky,233.6,2779.8,10.1,19.1,81.1,123.3,872.2,1662.1,245.4
1977,Louisiana,524.8,3973.1,15.5,30.9,142.9,335.5,1165.5,2469.9,337.7
1977,Maine,224.7,3850.7,2.4,13.5,38.7,170,1253.1,2350.7,246.9
1977,Maryland,693.8,5006.2,8,34.8,292.1,358.9,1400,3177.7,428.5
1977,Massachusetts,425.3,4983.7,3.1,20.8,169.9,231.6,1532.2,2311.3,1140.1
1977,Michigan,584.7,5227.3,9.3,38.9,261.9,274.6,1522.7,3159,545.5
1977,Minnesota,193.8,4037,2.7,19.5,85.9,85.8,1134.7,2559.3,343.1
1977,Mississippi,288.7,2299.9,14.3,19.6,65.7,189.1,915.6,1239.9,144.4
1977,Missouri,460.4,4120.8,9.6,28.3,189,233.5,1318.3,2424.2,378.4
1977,Montana,218,3887.3,5.4,16.7,39.2,156.8,804.9,2773.2,309.2
1977,Nebraska,199.4,3325.2,3.9,18.1,64.7,112.7,760,2316.1,249.1
1977,Nevada,743,7225,15.8,49.1,323.1,355,2453.1,4212.6,559.2
1977,New Hampshire,113.1,3679,3.2,10.7,23.2,76,1041.7,2343.9,293.4
1977,New Jersey,392,4721.8,5.6,21,180.4,185.1,1435.8,2774.5,511.5
1977,New Mexico,500.9,4686.7,8.8,39.1,109.6,343.4,1418.7,3008.6,259.5
1977,New York,831.8,5255.8,10.7,29.4,472.6,319.1,1728,2782,745.8
1977,North Carolina,407.1,3384,10.6,17,61.3,318.3,1154.1,2037.8,192.1
1977,North Dakota,67.1,2433.8,0.9,9,13.3,43.8,446.1,1843,144.7
1977,Ohio,406.7,4313.2,7.8,27.3,190.5,181.1,1216,2696.8,400.4
1977,Oklahoma,316.6,3843,8.6,29.2,73.8,205,1288.2,2228.1,326.8
1977,Oregon,455.8,5531.4,4.9,39.9,124.1,286.9,1636.4,3506.1,388.9
1977,Pennsylvania,282.8,2834.7,5.6,19,130.3,128,877.5,1624.1,333.2
1977,Rhode Island,301.6,5125,3.6,10.5,86.5,201,1489.5,2844.1,791.4
1977,South Carolina,636.2,4201.1,11.9,33,105.9,485.3,1613.6,2342.4,245.1
1977,South Dakota,189.1,2422.4,2,13.5,17.9,155.7,570.5,1704.4,147.5
1977,Tennessee,389.5,3582.8,10.1,29.7,145.8,203.9,1492.3,1776.5,314
1977,Texas,407.7,4989.4,13.3,33.8,152.4,208.2,1603.1,2988.7,397.6
1977,Utah,240,4510.6,3.5,20.3,68.8,147.3,1171.6,3004.6,334.5
1977,Vermont,149.5,3814.5,1.4,15.9,30.8,101.2,1348.2,2201,265.2
1977,Virginia,290,3734,9,23.3,92.1,165.7,986.2,2521.2,226.7
1977,Washington,374.9,5352.8,4.3,39.6,106.2,224.8,1605.6,3386.9,360.3
1977,West Virginia,152.3,2102.4,6,13.2,42.2,90.9,597.4,1341.7,163.3
1977,Wisconsin,131.5,3681.9,2.8,12.9,52.2,63.7,846.9,2614.2,220.7
1977,Wyoming,240.9,3865.8,5.4,21.9,39.7,173.9,811.6,2772.2,282
